SDD_1,SDD_2,SDD_3,PSS-1,PSS-2,PSS-3,PSS-4,PSS-5,PSS-6,PSS-7,PSS-8,PSS-9,PSS-10,PSS-11,PSS-12,PSS-13,PSS-14
Male,19,3rd Year,2,2,3,1,2,1,3,2,2,3,3,4,0,1
Female,20,3rd Year,2,2,0,4,2,1,1,1,0,2,3,4,1,1
Male,20,3rd Year,2,3,2,2,2,1,1,2,1,1,2,3,1,2
Male,20,3rd Year,3,3,3,2,1,2,2,2,2,3,4,3,2,3
Male,20,3rd Year,2,3,3,3,2,3,3,3,2,3,1,4,4,2
Female,20,3rd Year,3,4,3,1,2,3,3,2,3,3,3,3,3,4
Male,19,3rd Year,3,4,3,2,2,3,4,2,2,3,2,4,2,4
Female,20,3rd Year,0,0,0,4,4,4,4,0,4,4,0,0,4,0
Male,20,3rd Year,3,2,3,1,1,1,2,3,2,2,3,4,2,2
Male,20,3rd Year,2,3,2,2,0,3,4,3,4,4,4,1,4,4
Male,21,3rd Year,2,2,3,1,3,3,2,3,3,4,0,3,3,4
Male,20,3rd Year,2,2,2,2,2,2,2,0,2,2,2,2,0,2
Male,20,3rd Year,3,3,3,1,2,1,3,4,1,2,1,4,3,4
Male,20,3rd Year,2,3,2,1,2,2,1,3,2,2,2,2,2,3
Male,19,3rd Year,3,4,4,2,2,1,3,4,1,2,1,3,3,4
Male,19,3rd Year,3,3,4,2,3,3,3,4,3,3,3,4,0,4
Male,20,3rd Year,2,3,3,3,2,2,2,0,1,4,1,4,2,0
Male,20,3rd Year,2,3,2,2,2,3,3,2,3,3,2,4,4,4
Male,21,3rd Year,3,4,3,2,3,4,4,3,3,3,4,4,2,4
Male,20,3rd Year,2,2,3,0,0,1,2,2,3,2,3,4,1,2
Male,20,3rd Year,3,3,4,2,2,2,3,3,2,2,3,3,2,3
Male,20,3rd Year,3,3,2,0,1,2,2,2,3,1,3,4,3,3
Male,20,3rd Year,3,3,2,1,3,2,3,3,1,2,1,3,3,2
Prefer not to say,20,3rd Year,3,3,4,2,2,2,2,2,3,2,2,3,0,3
Male,19,3rd Year,2,3,2,3,1,0,3,1,2,3,2,3,0,3
Male,20,3rd Year,2,3,3,2,1,1,3,3,1,2,1,0,3,3
Female,19,3rd Year,4,4,4,3,2,4,2,4,0,2,4,4,0,4
Male,20,3rd Year,3,3,3,3,2,2,2,2,3,2,2,4,2,1
Male,20,3rd Year,2,3,2,1,2,0,2,1,1,2,2,4,2,2
Male,20,3rd Year,3,4,2,1,1,2,3,1,2,0,3,4,2,2
Male,20,3rd Year,3,4,4,0,1,1,3,3,0,0,4,4,1,4
Male,19,3rd Year,3,3,3,3,3,2,1,4,3,4,1,4,3,3
Male,20,3rd Year,3,3,3,1,2,2,2,3,2,2,3,2,3,2
Male,20,3rd Year,2,3,2,2,1,1,3,2,1,2,2,3,1,2
Female,20,3rd Year,3,3,4,2,0,2,1,2,2,2,4,3,2,2
Female,20,3rd Year,2,2,3,0,3,1,1,1,3,2,3,4,3,1
Male,21,3rd Year,3,3,3,1,2,0,1,2,1,2,1,1,0,2
Male,20,3rd Year,2,3,3,1,2,0,1,1,2,2,2,3,0,3
Male,19,3rd Year,2,2,3,1,2,3,2,2,1,3,2,4,1,2
Male,21,3rd Year,2,2,3,2,1,0,1,2,1,2,2,3,1,2
Female,20,3rd Year,3,3,4,2,2,2,3,3,3,2,2,4,3,2
Female,21,3rd Year,3,4,3,2,1,2,2,2,2,2,3,4,2,2
Male,21,3rd Year,2,3,2,0,1,0,2,2,1,1,3,3,3,2
Female,21,3rd Year,2,4,2,2,2,3,2,1,1,1,4,1,2,2
Female,20,3rd Year,3,2,2,1,2,2,2,3,2,2,2,2,2,2
Female,20,3rd Year,3,4,3,2,3,2,2,3,2,3,2,3,3,2
Female,21,3rd Year,3,4,4,3,3,3,2,3,3,3,3,1,4,3
Female,20,3rd Year,3,2,2,2,3,3,2,2,1,4,0,3,3,3
Male,21,3rd Year,3,4,3,1,2,2,3,2,1,4,2,4,0,2
Female,21,3rd Year,3,3,4,2,2,2,2,3,2,2,4,4,2,3
Female,20,3rd Year,2,2,2,2,2,4,4,0,4,3,3,2,3,4
Female,19,3rd Year,2,2,3,1,3,1,2,2,2,3,2,3,4,3
Male,20,3rd Year,2,3,3,2,2,1,2,3,2,2,4,3,1,3
Prefer not to say,19,3rd Year,3,4,2,3,2,3,2,3,1,2,3,4,2,1
Female,20,3rd Year,3,3,4,3,3,2,2,3,4,4,2,2,4,3
Male,20,3rd Year,2,3,2,1,1,1,3,3,1,2,4,3,0,2
Female,20,3rd Year,4,4,4,2,4,3,4,3,3,3,4,4,4,4
Female,20,3rd Year,2,3,2,3,1,1,2,1,1,2,1,3,1,2
Female,19,3rd Year,2,2,2,2,1,2,1,2,2,2,1,3,1,2
Female,20,3rd Year,2,2,2,2,1,1,2,3,3,2,4,2,2,4
Male,20,3rd Year,2,3,3,3,3,3,4,1,3,3,4,4,1,3
Male,20,3rd Year,3,2,0,2,2,2,1,2,1,3,2,2,1,2
Male,20,3rd Year,2,3,2,4,2,1,2,4,3,2,4,4,3,2
Prefer not to say,20,3rd Year,3,3,4,0,3,3,3,1,2,3,2,4,0,3
Male,21,3rd Year,2,3,3,2,1,0,3,2,2,3,2,1,3,2
Female,19,3rd Year,3,3,4,3,2,1,3,3,4,2,4,3,2,2
Male,19,3rd Year,2,3,2,1,2,2,3,2,2,3,3,2,3,3
Female,20,3rd Year,3,2,3,2,2,1,2,2,2,2,3,2,2,3
Male,20,3rd Year,2,3,2,1,1,0,3,1,2,1,3,1,3,2
Male,20,3rd Year,2,3,3,1,0,1,2,2,3,2,3,4,1,3
Female,20,3rd Year,2,2,4,2,2,2,2,3,3,2,3,3,2,3
Female,20,3rd Year,3,2,3,3,2,3,3,2,2,2,1,4,3,3
Male,20,3rd Year,3,2,3,1,2,2,3,3,1,4,2,4,3,4
Male,21,3rd Year,4,4,4,3,3,2,3,2,2,3,4,4,2,4
Male,21,3rd Year,3,4,2,1,0,3,3,4,0,3,2,4,2,3
Female,20,3rd Year,2,4,3,2,3,2,3,3,2,2,2,3,3,3
Male,20,3rd Year,2,3,3,2,2,2,2,2,3,2,3,4,3,3
Male,21,3rd Year,2,4,3,1,2,1,3,3,2,2,3,4,2,3
Female,20,3rd Year,2,3,2,2,1,0,3,2,1,2,3,4,3,3
Male,19,3rd Year,3,3,4,3,4,2,4,3,2,4,2,1,3,3
Female,20,3rd Year,2,3,3,2,2,2,3,1,3,2,3,3,3,3
Male,20,3rd Year,3,3,2,2,3,2,3,3,1,3,3,4,4,3
Male,21,3rd Year,2,3,3,2,2,1,1,2,1,1,2,4,3,1
Male,19,3rd Year,3,3,4,2,2,1,1,2,1,2,4,3,0,3
Male,21,3rd Year,2,3,2,1,1,1,2,2,1,2,1,3,1,1
Male,20,3rd Year,0,2,3,1,1,0,1,1,0,1,1,0,1,2
Female,20,3rd Year,2,4,3,1,0,2,1,2,2,2,2,2,2,2
Male,20,3rd Year,3,2,2,2,2,1,3,1,2,1,3,4,2,3
Male,20,3rd Year,2,2,2,2,2,2,2,2,2,1,3,4,2,2
Female,20,3rd Year,2,3,3,2,3,3,3,1,3,2,3,2,3,3
Female,20,3rd Year,4,4,4,0,0,3,3,4,3,4,4,0,4,4
Male,20,3rd Year,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Male,20,3rd Year,2,2,3,2,2,3,1,2,2,2,1,3,1,1
Male,20,3rd Year,2,3,4,2,0,1,4,2,3,2,4,1,3,3
Female,20,3rd Year,3,4,4,2,1,2,3,4,2,2,3,4,3,3
Male,20,3rd Year,2,3,3,2,2,2,2,2,2,1,4,3,2,2
Male,19,3rd Year,3,3,0,2,1,0,1,1,0,2,2,2,2,0
Male,20,3rd Year,3,4,2,2,3,2,2,2,2,3,3,2,3,2
Male,19,3rd Year,2,3,4,1,2,1,1,2,1,2,3,4,2,4
Male,19,3rd Year,2,3,3,1,2,1,2,1,2,4,3,3,1,2
Female,20,3rd Year,3,3,2,2,3,1,1,1,1,1,1,3,3,1
Male,20,3rd Year,0,0,0,0,0,0,4,0,0,0,0,4,4,1
Female,19,3rd Year,3,3,2,2,3,2,3,4,2,3,2,3,2,4
Male,21,3rd Year,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Male,19,3rd Year,3,3,3,1,1,3,2,3,2,4,2,4,3,4
Male,20,3rd Year,2,4,4,3,3,3,3,4,3,3,3,4,3,4
Male,20,3rd Year,2,2,2,1,2,2,3,3,2,2,2,3,2,2
Male,21,3rd Year,3,3,3,2,3,3,3,3,3,2,3,2,3,3
Male,20,3rd Year,2,3,3,1,2,1,3,3,1,2,2,3,2,3
Male,21,3rd Year,3,3,2,2,1,2,3,2,2,3,2,2,3,4
Male,19,3rd Year,2,3,2,2,2,2,1,2,3,4,2,2,1,2
Male,21,3rd Year,3,4,3,2,4,3,4,4,4,4,4,2,3,4
Male,20,3rd Year,3,3,2,2,1,1,1,1,1,1,2,3,1,1
Female,20,3rd Year,2,3,2,2,1,0,3,2,2,4,3,4,0,1
Female,20,3rd Year,3,2,2,1,3,3,3,3,1,3,2,4,2,2
Male,20,3rd Year,2,3,2,1,2,1,3,4,2,2,2,2,2,2
Male,20,3rd Year,3,3,3,2,2,1,3,3,2,1,4,4,3,2
Male,20,3rd Year,2,2,2,2,2,2,3,2,3,2,2,4,3,2
Male,21,3rd Year,2,2,3,0,1,0,1,1,0,1,1,3,1,0
Male,19,3rd Year,3,4,3,2,3,3,3,1,3,2,3,4,3,2
Male,19,3rd Year,3,0,3,2,1,2,2,2,3,2,3,2,3,4
Female,20,3rd Year,2,2,3,2,2,1,2,2,2,2,3,2,1,1
Male,21,3rd Year,3,3,3,2,2,1,2,2,0,2,1,3,1,3
Male,20,3rd Year,3,3,2,3,2,1,2,2,3,3,3,2,3,1
Male,20,3rd Year,3,3,3,3,2,2,2,2,1,2,2,3,2,2
Female,20,3rd Year,2,3,3,2,3,0,2,2,0,3,0,4,2,1
Male,20,3rd Year,3,4,3,3,2,2,4,3,3,3,3,4,4,2
Male,20,3rd Year,2,3,2,3,2,2,0,4,1,1,2,2,2,1
Male,21,3rd Year,2,3,3,2,2,2,2,3,3,2,3,2,2,4
Male,20,3rd Year,4,4,4,3,3,3,3,4,3,3,4,2,3,4
Male,21,3rd Year,0,0,3,4,4,3,4,0,4,4,0,0,4,0
Female,20,3rd Year,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Male,20,3rd Year,4,4,4,4,0,4,4,4,4,4,4,4,4,4
Male,20,3rd Year,3,3,3,2,2,2,2,2,3,1,1,3,2,3
Female,21,3rd Year,3,2,3,1,3,2,3,3,2,4,4,3,3,2
Male,20,3rd Year,2,3,2,3,3,3,4,3,2,3,2,4,4,2
Male,20,3rd Year,2,4,3,2,1,1,1,3,2,2,1,3,3,4
Male,21,3rd Year,2,3,3,2,2,2,2,1,1,0,2,4,2,0
Female,19,3rd Year,3,2,3,2,0,1,1,2,0,1,3,3,0,2
Female,19,3rd Year,3,3,4,2,2,3,3,4,3,2,3,3,3,3
Female,20,3rd Year,2,4,4,0,3,3,3,1,2,3,3,4,0,2
Male,20,3rd Year,2,3,4,2,2,1,2,3,2,4,3,4,3,3
Female,19,3rd Year,4,3,3,4,2,3,3,3,3,3,4,4,2,3
Female,19,3rd Year,2,2,2,1,2,3,3,3,2,4,2,2,1,3
Male,21,3rd Year,3,2,3,1,1,2,2,3,2,2,2,4,1,2
Male,21,3rd Year,0,0,0,4,4,4,4,0,0,0,0,4,1,2
Female,19,3rd Year,2,2,3,1,0,2,2,1,1,2,2,2,1,1
Prefer not to say,19,3rd Year,3,3,2,2,1,3,3,4,3,1,3,2,3,3
Male,21,3rd Year,3,2,2,1,1,1,2,3,0,2,0,4,3,2
Male,19,3rd Year,2,3,3,2,0,2,2,1,1,0,4,2,3,2
Male,19,3rd Year,2,3,3,0,1,1,3,2,1,2,3,4,0,2
Male,20,3rd Year,3,2,3,2,2,2,3,2,2,2,3,3,1,2
Male,19,3rd Year,3,3,2,2,3,0,2,2,3,2,3,4,4,2
Male,21,3rd Year,0,0,3,4,3,0,1,1,0,2,2,4,1,2
Male,20,3rd Year,2,2,3,0,2,1,1,1,1,1,2,4,2,2
Male,20,3rd Year,3,0,2,2,1,1,2,2,2,3,1,3,1,1
Male,20,3rd Year,3,3,3,3,3,3,3,2,3,3,3,3,4,3
Male,20,3rd Year,2,3,2,2,2,2,3,2,2,2,4,4,3,2
Female,20,3rd Year,3,3,3,3,3,3,3,3,3,4,3,3,3,4
Male,20,3rd Year,0,0,3,2,3,3,4,3,2,4,3,3,3,4
Male,21,3rd Year,2,3,2,1,1,0,1,1,1,2,2,3,1,1
Male,20,3rd Year,2,3,3,1,1,1,1,1,1,3,3,4,3,2
Male,20,3rd Year,2,2,3,1,1,1,2,2,1,2,2,4,1,2
Male,21,3rd Year,2,3,2,1,1,0,2,2,2,2,1,4,2,2
Male,21,3rd Year,2,3,2,1,1,4,4,4,2,3,3,2,3,4
Male,20,3rd Year,2,3,2,1,3,2,3,2,2,3,1,2,1,2
Male,19,3rd Year,2,2,3,2,1,2,1,4,1,1,2,4,3,3
Male,20,3rd Year,3,3,4,2,2,2,3,2,2,4,2,3,3,2
Male,19,3rd Year,3,3,2,2,2,2,1,1,1,1,2,1,3,1
Prefer not to say,20,3rd Year,0,3,3,1,1,1,2,2,1,2,2,3,3,1
Male,19,3rd Year,2,3,2,2,0,1,2,3,2,2,3,4,2,2
Male,19,3rd Year,2,3,2,2,2,2,2,2,1,3,2,3,3,2
Male,20,3rd Year,2,2,2,1,2,1,2,2,1,2,2,3,2,2
Male,21,3rd Year,3,3,2,2,3,3,2,3,2,3,2,4,2,2
Female,20,3rd Year,2,3,3,2,1,1,2,1,2,3,3,4,0,3
Male,20,3rd Year,2,3,2,1,1,1,2,1,1,2,3,4,2,2
Male,19,3rd Year,0,0,0,0,0,0,1,0,0,1,2,3,1,0
Female,21,3rd Year,4,4,3,2,3,2,4,4,3,3,3,3,2,3
Male,21,3rd Year,2,3,0,0,0,0,0,0,0,0,0,4,0,0
Female,20,3rd Year,2,3,4,1,1,2,3,3,2,2,3,4,4,4
Male,19,3rd Year,3,3,4,2,2,2,4,3,2,0,4,4,2,4
Female,20,3rd Year,3,3,3,2,2,2,2,3,3,1,3,4,2,3
Male,21,3rd Year,2,3,3,1,1,2,2,2,2,2,2,2,2,3
Male,20,3rd Year,3,3,3,1,1,0,3,1,1,0,1,2,2,0
Male,21,3rd Year,3,4,3,2,2,2,4,4,2,3,2,4,3,4
Male,20,3rd Year,2,3,3,2,1,0,1,3,2,2,3,2,3,2
Male,21,3rd Year,3,2,4,0,3,2,1,2,2,4,2,3,4,4
Male,20,3rd Year,2,2,3,2,2,1,3,1,1,2,3,1,1,2
Male,21,3rd Year,2,3,2,3,1,1,2,2,2,2,2,4,1,2
Male,20,3rd Year,3,2,2,1,2,2,0,1,3,1,3,3,4,0
Male,21,3rd Year,3,3,2,2,2,1,2,3,1,2,3,3,0,2
Male,20,3rd Year,3,2,3,2,3,4,3,3,3,4,3,1,4,3
Male,20,3rd Year,3,4,2,1,2,0,2,3,2,3,3,4,1,4
Male,20,3rd Year,2,2,2,2,2,2,3,3,2,3,2,3,1,2
Male,20,3rd Year,3,3,4,2,2,1,0,1,2,2,4,4,3,2
Male,21,3rd Year,2,3,3,2,0,3,3,3,2,3,3,4,2,3
Female,20,3rd Year,2,2,3,0,3,2,2,4,2,3,3,4,2,4
Male,20,3rd Year,2,3,4,2,2,3,2,4,2,3,2,4,1,3
Male,20,3rd Year,2,2,4,2,1,3,4,2,2,4,1,2,1,1
Male,19,3rd Year,3,3,2,3,2,2,2,3,3,3,4,4,4,4
Male,21,3rd Year,2,2,3,3,2,1,3,2,1,3,2,3,1,1
Male,20,3rd Year,3,4,4,1,3,2,3,3,2,3,2,4,3,3
Male,20,3rd Year,3,3,2,2,2,1,2,3,1,2,2,1,2,3
Male,21,3rd Year,2,3,3,1,1,2,2,2,2,3,3,3,2,3
Male,21,3rd Year,3,2,3,2,1,1,0,0,2,2,1,1,3,0
Female,20,3rd Year,2,3,2,1,1,2,3,2,2,2,3,3,3,2
Female,21,3rd Year,3,3,3,2,3,2,2,1,1,2,2,3,1,1
Male,21,3rd Year,2,3,3,2,1,1,2,2,1,2,2,3,3,1
Female,20,3rd Year,2,3,4,1,1,2,3,4,1,4,2,4,1,4
Male,20,3rd Year,2,3,2,3,2,3,2,2,1,2,1,3,3,2
Male,19,3rd Year,3,2,2,1,2,1,3,2,2,2,4,1,2,3
Male,19,3rd Year,2,2,3,4,4,4,4,0,3,3,1,1,2,2
Male,20,3rd Year,4,4,4,0,0,0,0,4,0,0,4,3,1,4
Male,19,3rd Year,3,2,3,1,2,2,3,2,3,2,3,2,2,3
Male,19,3rd Year,2,2,2,2,1,1,2,2,2,3,3,2,2,3
Male,20,3rd Year,3,0,3,0,0,0,2,1,1,1,1,3,1,0
Male,20,3rd Year,2,2,3,1,2,1,3,2,2,2,3,4,3,4
Male,19,3rd Year,2,2,2,2,2,1,2,1,1,2,2,4,2,1
Male,21,3rd Year,3,3,4,1,3,3,4,3,2,4,3,1,2,4
Male,21,3rd Year,3,3,3,1,1,1,0,1,1,1,1,4,2,2
Female,20,3rd Year,2,2,3,2,2,2,2,2,2,2,2,3,2,2
Male,20,3rd Year,3,3,0,1,0,0,0,0,0,0,0,4,1,0
Male,20,3rd Year,3,3,3,3,1,1,1,1,2,1,1,4,1,1
Male,20,3rd Year,2,4,4,2,3,3,4,4,1,3,4,4,3,3
Male,19,3rd Year,4,4,4,0,4,4,4,0,4,4,4,0,4,4
Male,20,3rd Year,3,2,2,1,1,1,1,2,1,2,2,3,3,2
Male,20,3rd Year,2,2,3,2,1,2,2,3,1,3,3,4,2,3
Male,20,3rd Year,2,3,3,0,1,0,1,1,0,2,2,3,2,2
Male,19,3rd Year,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Male,20,3rd Year,2,4,3,2,1,2,3,3,4,3,2,4,4,4
Male,21,3rd Year,3,2,3,2,2,0,3,2,3,2,2,4,4,3
Male,20,3rd Year,2,3,3,2,2,2,2,2,0,1,1,3,3,3
Male,20,3rd Year,2,3,3,0,2,0,2,2,0,0,2,2,2,3
Male,20,3rd Year,2,2,3,2,1,1,3,1,1,2,3,2,2,2
Male,20,3rd Year,2,2,2,2,2,1,2,1,2,3,2,2,2,1
Male,19,3rd Year,2,3,3,1,1,1,2,2,1,2,2,4,1,2
Male,19,3rd Year,3,3,3,0,1,1,1,1,0,1,2,4,0,0
Male,20,3rd Year,2,3,3,2,4,3,3,3,2,3,3,3,4,4
Male,20,3rd Year,3,3,3,1,2,2,2,2,2,2,3,3,1,1
Male,20,3rd Year,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Female,20,3rd Year,3,2,3,0,1,1,1,4,3,0,2,3,0,4
Female,20,3rd Year,2,2,3,1,1,1,2,1,2,2,3,1,1,1
Female,20,3rd Year,4,3,3,2,2,2,3,3,3,3,3,3,4,4
Male,20,3rd Year,2,2,2,1,2,2,2,2,2,2,2,2,2,2
Male,21,3rd Year,2,4,4,2,2,2,1,3,0,1,3,4,2,3
Male,20,3rd Year,3,3,3,2,2,3,2,3,3,2,2,4,3,4
Male,20,3rd Year,0,0,0,3,1,1,0,1,1,1,1,1,0,0
Male,20,3rd Year,2,3,3,2,2,2,1,2,2,2,2,3,3,3
Male,20,3rd Year,3,4,3,1,1,1,2,1,1,2,2,4,1,1
Male,21,3rd Year,0,0,0,0,0,0,0,0,0,0,1,4,0,0
Female,19,3rd Year,2,3,2,2,2,2,3,2,2,3,2,4,2,3
Female,20,3rd Year,2,3,2,2,2,1,2,2,2,2,1,1,1,2
Female,20,3rd Year,3,2,2,1,2,2,2,3,2,3,1,4,2,2
Male,20,3rd Year,2,2,3,2,2,2,3,2,2,3,3,3,4,2
Female,20,3rd Year,3,2,4,1,2,2,1,3,3,2,2,2,2,3
Female,20,3rd Year,3,4,3,2,2,2,4,3,2,3,2,4,3,2
Male,20,3rd Year,3,2,3,4,2,2,3,3,0,3,1,1,1,2
Male,21,3rd Year,2,2,3,1,1,0,1,4,3,1,4,2,4,1
Male,19,3rd Year,2,3,2,0,2,0,2,2,1,3,3,4,1,3
Female,19,3rd Year,3,3,3,3,3,2,3,4,2,2,3,4,4,4
Female,20,3rd Year,3,4,4,1,3,3,4,4,2,3,3,3,2,4
Female,19,3rd Year,3,4,4,2,2,2,2,3,2,2,3,4,1,4
Male,19,3rd Year,3,3,3,1,2,3,3,1,3,3,2,1,3,3
Female,19,3rd Year,2,3,2,2,2,2,3,3,2,3,3,3,3,3
Female,20,3rd Year,2,2,3,0,2,1,2,1,1,1,2,3,1,1
Male,20,3rd Year,2,3,3,1,1,2,2,2,3,3,2,2,2,4
Female,20,3rd Year,2,2,3,1,2,2,3,4,2,3,2,4,1,3
Male,20,3rd Year,2,3,2,2,2,1,2,3,0,4,3,2,3,3
Female,20,3rd Year,2,2,2,1,2,1,2,2,4,4,3,3,3,2
Female,20,3rd Year,2,3,4,2,2,2,3,3,2,2,3,4,2,3
Male,20,3rd Year,3,2,2,2,1,2,1,3,2,3,2,2,2,2
Male,20,3rd Year,2,3,2,2,1,2,2,3,1,2,4,4,1,2
Male,21,3rd Year,4,2,2,1,1,1,4,3,1,3,4,4,2,4
Male,20,3rd Year,2,3,0,2,3,1,2,0,2,1,2,4,0,2
Female,20,3rd Year,2,2,2,2,3,1,2,1,2,2,3,2,2,1
Male,20,3rd Year,3,3,3,1,0,0,0,1,0,1,0,2,1,1
Male,20,3rd Year,2,2,2,2,3,1,3,3,2,2,2,3,3,3
Male,19,3rd Year,3,3,0,4,4,4,4,0,4,4,0,0,4,0
Male,20,3rd Year,2,3,2,2,0,4,4,4,2,4,1,3,3,3
Male,21,3rd Year,2,2,3,1,1,2,3,1,2,2,2,3,3,3
Female,20,3rd Year,3,3,3,1,2,0,2,1,1,0,2,1,1,1
Male,21,3rd Year,3,3,2,1,3,2,1,4,2,2,3,3,2,3
Male,20,3rd Year,2,2,2,2,2,2,2,2,2,2,2,3,1,2
Male,20,3rd Year,3,2,3,3,3,0,3,2,3,3,3,1,2,4
Prefer not to say,20,3rd Year,2,3,3,1,2,1,1,4,3,2,4,4,2,3
Male,19,3rd Year,3,3,2,3,0,2,2,3,1,0,1,4,2,3
Female,20,3rd Year,3,0,0,0,0,0,1,0,0,2,2,2,0,0
Male,19,3rd Year,3,4,3,3,2,4,2,1,3,2,2,4,3,4
Female,20,3rd Year,3,4,4,0,2,3,3,3,2,3,3,3,3,3
Male,20,3rd Year,3,2,3,1,1,1,0,2,2,0,2,2,0,1
Male,20,3rd Year,2,2,3,4,2,0,2,2,1,4,1,0,4,2
Male,19,3rd Year,2,2,2,2,2,2,2,2,2,2,2,3,2,2
Male,21,3rd Year,3,2,3,1,2,1,2,1,2,2,2,2,2,2
Male,20,3rd Year,2,2,2,2,3,2,3,2,3,3,2,1,2,3
Female,20,3rd Year,2,3,3,1,2,2,2,2,2,3,3,1,3,3
Male,20,3rd Year,2,3,3,2,3,1,2,3,0,2,2,4,3,3
Male,19,3rd Year,3,0,2,2,2,3,1,1,1,4,2,4,2,2
Male,21,3rd Year,3,2,3,2,1,0,1,2,1,3,1,2,1,1
Male,20,3rd Year,3,2,4,1,2,2,3,3,2,2,3,4,2,2
Male,21,3rd Year,3,3,3,2,2,3,3,3,3,3,3,4,2,3
Female,21,3rd Year,2,3,4,1,2,1,2,3,2,2,2,2,2,1
Male,19,3rd Year,3,3,4,2,3,2,3,3,2,4,3,3,3,3
Male,20,3rd Year,2,4,3,2,2,2,2,3,2,2,3,4,3,4
Male,19,3rd Year,2,0,3,0,0,0,1,1,1,0,3,4,0,1
Male,19,3rd Year,0,0,3,4,1,1,0,0,4,1,0,4,2,0
Male,21,3rd Year,2,3,3,1,1,2,3,0,2,3,4,3,0,3
Male,19,3rd Year,3,3,3,2,2,3,3,3,2,3,4,3,3,4
Female,20,3rd Year,4,3,4,3,2,3,3,4,3,3,4,4,4,4
Male,21,3rd Year,3,2,0,4,2,1,2,0,2,4,1,2,1,0
Male,21,3rd Year,2,3,2,2,3,3,1,2,1,1,1,4,1,4
Male,19,3rd Year,2,2,2,3,1,3,4,3,0,4,4,2,2,2
Male,20,3rd Year,2,3,3,1,2,1,2,3,2,2,3,3,3,2
Male,20,3rd Year,2,3,3,1,1,0,2,1,2,3,3,2,4,2
Male,21,3rd Year,2,2,0,4,4,2,2,2,2,4,4,1,3,0
Male,20,3rd Year,2,3,3,3,3,3,3,2,2,3,3,2,2,2
Female,20,3rd Year,2,2,2,1,2,2,2,2,2,2,2,3,1,2
Male,19,3rd Year,3,4,4,2,3,3,2,3,3,3,3,2,3,4
Female,20,3rd Year,3,3,3,2,1,0,0,2,3,3,3,0,2,3
Female,20,3rd Year,2,3,3,2,1,1,1,2,2,2,3,3,0,2
Female,20,3rd Year,3,3,4,1,1,2,3,2,2,2,3,4,1,3
Male,20,3rd Year,3,2,3,2,2,1,3,3,3,4,2,3,2,4
Female,20,3rd Year,4,4,3,1,1,0,0,4,1,1,4,3,3,3
Male,20,3rd Year,3,2,3,1,3,2,1,4,0,1,2,4,1,1
Female,21,3rd Year,4,4,4,2,3,3,3,4,3,4,4,3,4,4
Male,21,3rd Year,3,2,2,1,0,0,1,2,0,1,0,4,0,2
Male,21,3rd Year,2,2,3,2,2,2,3,2,2,3,3,2,1,2
Female,20,3rd Year,2,2,3,3,3,2,3,3,2,2,3,4,2,2
Male,20,3rd Year,0,0,0,0,0,0,1,0,0,1,1,2,1,0
Male,21,3rd Year,3,3,3,0,1,2,2,2,2,3,3,3,2,2
Male,20,3rd Year,2,2,2,2,2,2,3,2,2,3,2,2,2,2
Female,19,3rd Year,3,3,4,2,2,3,3,1,2,3,3,1,2,2
Male,20,3rd Year,2,3,3,1,3,1,4,3,3,2,2,4,3,2
Male,20,3rd Year,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Male,20,3rd Year,2,3,2,2,2,2,2,2,2,3,2,3,0,2
Male,21,3rd Year,3,2,3,2,1,3,2,2,3,2,1,4,1,2
Male,21,3rd Year,2,2,2,2,1,2,3,2,2,4,3,4,1,3
Male,20,3rd Year,4,4,3,2,2,2,2,3,2,1,3,4,2,3
Female,20,3rd Year,2,3,3,1,0,2,3,0,0,2,1,3,0,0
Male,20,3rd Year,2,2,3,1,3,4,4,1,4,4,2,3,2,2
Male,21,3rd Year,3,3,2,2,4,2,2,3,3,3,4,4,3,3
Male,20,3rd Year,2,3,3,2,3,2,2,3,4,3,2,3,2,3
Male,20,3rd Year,2,3,4,2,3,1,3,3,1,3,3,4,2,3
Female,21,3rd Year,3,3,4,1,2,2,3,2,1,2,3,4,3,2
Male,21,3rd Year,2,2,2,2,3,2,1,3,3,3,3,4,3,4
Male,20,3rd Year,3,3,3,3,0,0,0,1,0,0,1,4,0,1
Female,20,3rd Year,4,4,4,1,2,0,1,3,2,2,3,4,0,4
Male,20,3rd Year,4,3,3,1,1,1,2,2,2,3,4,4,2,2
Male,19,3rd Year,2,2,3,3,2,1,3,2,3,2,2,2,2,2
Male,21,3rd Year,3,2,3,1,2,3,2,3,2,3,3,4,3,4
Male,21,3rd Year,2,2,3,1,1,0,1,1,1,1,3,3,2,2
Male,20,3rd Year,2,3,2,2,3,1,2,2,2,3,2,3,1,3
Female,19,3rd Year,3,2,4,2,3,3,2,3,2,2,4,3,2,2
Male,21,3rd Year,0,0,0,4,0,0,0,0,0,0,4,4,0,0
Male,20,3rd Year,3,3,3,4,0,2,3,4,1,3,2,2,4,1
Male,20,3rd Year,3,3,3,2,2,1,3,2,3,2,1,4,1,3
